Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Loss	TimestepsThisBatch	TimestepsSoFar
3.85560202599	0	173.31147541	183.614844661	946.0	36.0	16.5409836066	7.51517322094	6.93292	1009	1009
4.54619312286	1	483.486486486	513.568049736	2485.0	45.0	27.2972972973	13.9475171962	11.9655	1010	2019
5.2515540123	2	1548.91666667	3226.7210255	13366.0	153.0	42.6666666667	35.1386144038	23.7884	1024	3043
6.32205104828	3	1102.84	1115.78606121	5886.0	171.0	42.76	18.28940677	16.4608	1069	4112
7.3676700592	4	965.923076923	967.584896815	3828.0	120.0	39.0384615385	19.2043279762	15.1617	1015	5127
8.30772995949	5	1499.9	1113.91951684	3655.0	210.0	50.1	20.9687863263	18.1234	1002	6129
9.3062980175	6	1267.28571429	576.014313881	2775.0	276.0	48.3333333333	12.2526317225	15.8613	1015	7144
10.6530900002	7	1145.91304348	718.279763411	2775.0	171.0	44.8260869565	15.4149903719	15.0259	1031	8175
11.9436080456	8	1484.9	761.104125596	3240.0	406.0	52.0	14.6219013811	16.5601	1040	9215
13.2197501659	9	1392.57142857	882.286130644	3240.0	300.0	49.619047619	16.5370469825	16.4464	1042	10257
14.3162770271	10	1352.42857143	1047.07113377	5050.0	253.0	48.0952380952	18.5367197024	15.9811	1010	11267
15.4817099571	11	1632.8	1440.19150116	5253.0	253.0	51.85	22.9200239965	17.2753	1037	12304
16.5609879494	12	1193.82608696	1318.33385137	5995.0	276.0	43.8695652174	20.4754452047	16.0289	1009	13313
17.6164441109	13	1524.45	1156.18158068	4560.0	325.0	51.5	18.5782130465	16.9779	1030	14343
18.5659461021	14	1654.94736842	948.643711815	3240.0	210.0	54.4210526316	17.141257675	17.0851	1034	15377
19.5659110546	15	2053.0	2137.01506041	10011.0	190.0	57.6842105263	26.848606024	19.817	1096	16473
20.5180931091	16	1466.55	848.928764679	3403.0	378.0	51.45	15.3149436826	15.8686	1029	17502
21.5106019974	17	1525.68421053	886.231943778	3916.0	666.0	52.7894736842	14.5550821197	16.3465	1003	18505
22.6029980183	18	1633.42105263	1237.8521005	5671.0	595.0	53.6315789474	18.3538624253	16.3431	1019	19524
23.7174611092	19	2024.55555556	2204.4732609	10296.0	406.0	57.5	26.1794024208	18.6577	1035	20559
24.8080749512	20	2148.23529412	2199.30284487	9180.0	190.0	59.0	27.5040104028	19.6374	1003	21562
25.8188891411	21	1326.95238095	747.028811594	3486.0	378.0	49.1428571429	13.7746686566	14.4493	1032	22594
26.7658770084	22	1724.21052632	1484.6709924	6903.0	406.0	54.3157894737	21.0689410509	16.3931	1032	23626
27.711920023	23	1975.58823529	1096.74137972	4371.0	595.0	59.8235294118	17.6776205949	16.6407	1017	24643
28.5587880611	24	2165.0	2092.84042842	9180.0	406.0	60.2941176471	25.1858146486	18.555	1025	25668
29.4826750755	25	2212.82352941	1816.99037633	8911.0	861.0	62.6470588235	20.9367146602	17.4877	1065	26733
30.4438061714	26	1775.55555556	1133.41902726	5050.0	465.0	56.5	17.3885338977	15.4992	1017	27750
31.3871281147	27	1725.05555556	1117.14743244	4753.0	595.0	55.7222222222	17.0124319104	14.9799	1003	28753
32.4626030922	28	1737.26315789	1169.85041068	4950.0	378.0	55.4210526316	18.6443607658	14.5708	1053	29806
33.4229459763	29	1808.66666667	1536.10293347	6903.0	351.0	55.7222222222	21.3692550579	15.358	1003	30809
